year,Shannons_Diversity_Index
1970,3.1250985819420816
1971,3.0443971584716083
1972,3.0469922477589275
1973,3.1162505392058724
1974,3.23670566840699
1975,3.100716543569905
1976,3.0440866729079588
1977,3.1552501112997358
1978,2.9778589109477758
1979,3.134372888899018
1980,3.3625640041271887
1981,3.318619017621823
1982,3.375208481247384
1983,3.4475463494446568
1984,3.5454963658110605
1985,4.050092301305014
1986,4.030488238744471
1987,3.883242017111796
1988,3.9848437693633887
1989,3.9214438825843336
1990,3.8684642028021523
1991,4.028616570761473
1992,4.074086807801102
1993,4.098336302319666
1994,4.080878535662131
1995,4.194604830110446
1996,4.217930239907194
1997,4.306554419394992
1998,4.254888934836762
1999,4.332674009879861
2000,4.238134497189024
2001,4.203691759497218
2002,4.3111176053067926
2004,4.421414155506568
2005,4.467388478340144
2006,4.483011637760166
2007,4.515762045561511
2008,4.486617482106148
2009,4.529060140450309
2010,4.532760543682275
2011,4.530469080617062
2012,4.5060680586183315
2013,4.579173066087751
2014,4.544914951661155
2015,4.61181804928256
2016,4.670975436042718
2017,4.651474858344839
2018,4.710018386137325
2019,4.764958922893442
