month,day,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,min,max
8,28,13.7,16.1,12.6,16.7,15.5,17.7,14.3,15.6,17.6,16.5,15.3,16.4,14.2,12.6,17.7
8,29,13.8,16,12.6,16.8,15.9,17.5,13.1,14.5,17.6,16.5,15.3,16.4,13.4,12.3,17.6
8,30,14,15.6,12.7,17.2,14.7,16.7,13.7,14.4,17,14.8,15.2,16.4,12,12,17.2
8,31,13.9,15.4,12.7,16.9,14.6,15.9,13.5,14.4,16.8,14.3,15,17.1,14.4,12.7,17.1
9,1,14.1,17,12.9,16.7,15,15.2,13.6,14,15.5,13.1,14.8,17,13.9,12.8,17
9,2,14.3,17,12.8,16.6,14.7,15.2,13.4,13.8,15.1,12.7,14.8,16.3,12.9,12.7,17
9,3,14.1,17,12.5,17.3,14.6,15.2,13.2,13.8,14.9,12.8,14.9,15.9,12.8,12.2,17.3
9,4,13.5,16.4,12.6,16.9,14.1,15.2,13.7,13.7,15.9,12.7,14.8,15.6,13.4,11.8,16.9
9,5,13.3,16.3,12.5,14.6,14.1,15.4,13.7,13.9,15.6,13,14.4,15.5,11.8,11.8,16.3
9,6,12.9,16.2,12.5,14,13.8,15.4,13.3,13.8,14.9,12.5,14.3,15.4,11.7,11.7,16.2
9,7,12.9,16.1,12.5,13.8,13.8,15.9,13.2,13.3,14.7,12.5,14.4,15.1,11.7,11.7,16.1
9,8,13,15.8,12,13.5,13.4,15.9,13.2,12.7,14.5,12.2,14.1,15,11.8,11.8,15.9
9,9,13.2,15.4,11.7,13.4,13.6,16.1,12.7,12.7,14.4,11.4,14.1,14.7,11.9,11.4,16.1
9,10,13,14.1,11.9,13.3,13.1,15.8,12.2,12.9,14.7,11.9,14,14.6,11.9,11.9,15.8
9,11,13.5,14.3,11.8,13,13,16.2,12.1,12.8,14.5,12,13.8,14.1,11.4,11.4,16.2
9,12,13.5,14.2,12,12.4,12.4,15.7,12.2,11.9,14.5,11.1,13.6,14.3,11.1,11.1,15.7
9,13,13,14.6,12,12.7,12.3,15,12.7,11.9,14.6,11.3,14.2,14.1,9.6,9.6,15
9,14,11.7,14.3,11.7,12.8,11.9,14.9,12.6,11.8,14.3,11.2,14.1,14.1,7.7,7.7,14.9
9,15,11.5,14.2,11.5,13.1,11.6,14.8,12.4,11.7,14.4,11.1,13.9,14,8,8,14.8
9,16,10.6,12.9,11.1,12.9,11.3,14.8,11.7,12.1,14.2,10.8,13.4,13.3,7.6,7.6,14.8
9,17,10.6,12.5,11.1,12.5,10.5,14.5,10.9,11.5,13.9,10.6,13.1,13.3,8.2,8.2,14.5
9,18,10.7,12.5,10.9,13.1,9.9,14.5,10.7,11.2,13.5,10.7,13.2,13,8.1,8.1,14.5
9,19,11,12.3,10.7,12.9,9.8,14.2,10.7,10.9,14.6,10.4,13.2,12.2,7.7,7.7,14.6
9,20,10.5,11.7,10.5,12.7,9.3,13,10.1,10.7,14.1,10.2,13.8,12.2,7.9,7.9,14.1
9,21,10.4,11.3,10.5,11.9,9.7,12.8,10.2,10.7,13.8,10.3,13.7,12.6,8,8,13.8
9,22,10.3,11.4,10.4,11.5,9.7,13.2,11,10.7,14.1,10.2,13.6,10.6,8.1,8.1,14.1
9,23,10.3,11.3,10.6,11.5,9.5,13.1,10.9,9.7,14.1,10,13.4,9.7,9,9,14.1
9,24,9.9,11.1,10.1,11,10.2,13.5,11,9.1,13.7,10.2,13.2,10,9,9,13.7
9,25,9.4,11,9.9,11.1,9.9,13.7,10.8,9.2,13.3,10.3,13.3,9.7,8.5,8.5,13.7
9,26,9.6,10.9,10.2,10.7,10,13.5,10.5,8.6,13,10.4,12.3,9.7,8.4,8.4,13.5
9,27,9.9,10.8,9.9,10.6,9.1,13.2,10.8,8.6,12.7,9.8,12,9.6,8.5,8.5,13.2
9,28,9.7,10.5,9.5,10.3,9.2,13,10.6,8.6,12.8,10.1,11.4,9.4,8.6,8.6,13
9,29,9.5,10.4,10.3,10.1,9.5,12.6,11,8.6,12.9,10.4,11.4,9.7,8.4,8.4,12.9
9,30,9.1,10.4,10.2,10.1,9.3,12.4,11.7,9,12.4,10.4,11.8,9.7,8.6,8.6,12.4
10,1,9.9,8.7,10.3,12.4,9,12.3,11.7,9.1,12.2,10.4,11.2,10,8.4,8.4,12.6
