eventID,sampleID,measurementID,measurementType,measurementValue,measurementUnit,Unnamed: 6
MPO-OPANO-BOTTOMTRAWL-1985-09-12T07:30Z,MPO-OPANO-BOTTOMTRAWL-1985-8279,MPO-OPANO-BOTTOMTRAWL-1985-OTHER-00002,total weight,2.058823529,kg,
MPO-OPANO-BOTTOMTRAWL-1985-09-12T13:04Z,MPO-OPANO-BOTTOMTRAWL-1985-8327,MPO-OPANO-BOTTOMTRAWL-1985-OTHER-00004,total weight,19.44444444,kg,
MPO-OPANO-BOTTOMTRAWL-1985-09-13T09:37Z,MPO-OPANO-BOTTOMTRAWL-1985-8399,MPO-OPANO-BOTTOMTRAWL-1985-OTHER-00006,total weight,6.447368421,kg,
MPO-OPANO-BOTTOMTRAWL-1985-09-14T16:34Z,MPO-OPANO-BOTTOMTRAWL-1985-8564,MPO-OPANO-BOTTOMTRAWL-1985-OTHER-00008,total weight,2.916666667,kg,
MPO-OPANO-BOTTOMTRAWL-1985-09-17T07:27Z,MPO-OPANO-BOTTOMTRAWL-1985-8775,MPO-OPANO-BOTTOMTRAWL-1985-OTHER-00010,total weight,0.972222222,kg,
MPO-OPANO-BOTTOMTRAWL-1985-09-17T10:25Z,MPO-OPANO-BOTTOMTRAWL-1985-8814,MPO-OPANO-BOTTOMTRAWL-1985-OTHER-00012,total weight,11.41304348,kg,
MPO-OPANO-BOTTOMTRAWL-1985-09-17T14:39Z,MPO-OPANO-BOTTOMTRAWL-1985-8873,MPO-OPANO-BOTTOMTRAWL-1985-OTHER-00014,total weight,1.75,kg,
MPO-OPANO-BOTTOMTRAWL-1985-09-20T07:30Z,MPO-OPANO-BOTTOMTRAWL-1985-9213,MPO-OPANO-BOTTOMTRAWL-1985-OTHER-00016,total weight,7,kg,
MPO-OPANO-BOTTOMTRAWL-1985-09-20T09:15Z,MPO-OPANO-BOTTOMTRAWL-1985-9239,MPO-OPANO-BOTTOMTRAWL-1985-OTHER-00018,total weight,8.289473684,kg,
MPO-OPANO-BOTTOMTRAWL-1985-09-20T12:12Z,MPO-OPANO-BOTTOMTRAWL-1985-9273,MPO-OPANO-BOTTOMTRAWL-1985-OTHER-00020,total weight,3.684210526,kg,
MPO-OPANO-BOTTOMTRAWL-1986-09-24T04:25Z,MPO-OPANO-BOTTOMTRAWL-1986-12212,MPO-OPANO-BOTTOMTRAWL-1986-OTHER-00022,total weight,1.09375,kg,
MPO-OPANO-BOTTOMTRAWL-1987-08-31T15:38Z,MPO-OPANO-BOTTOMTRAWL-1987-12519,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00024,total weight,4.861111111,kg,
MPO-OPANO-BOTTOMTRAWL-1987-08-31T17:56Z,MPO-OPANO-BOTTOMTRAWL-1987-12535,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00026,total weight,3.5,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-01T12:58Z,MPO-OPANO-BOTTOMTRAWL-1987-12599,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00028,total weight,1.944444444,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-01T16:05Z,MPO-OPANO-BOTTOMTRAWL-1987-12627,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00030,total weight,2.763157895,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-01T18:47Z,MPO-OPANO-BOTTOMTRAWL-1987-12641,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00032,total weight,3.5,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-01T22:04Z,MPO-OPANO-BOTTOMTRAWL-1987-12673,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00034,total weight,5.46875,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-03T11:19Z,MPO-OPANO-BOTTOMTRAWL-1987-12797,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00036,total weight,21.38888889,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-03T13:46Z,MPO-OPANO-BOTTOMTRAWL-1987-12810,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00038,total weight,6.447368421,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-03T15:14Z,MPO-OPANO-BOTTOMTRAWL-1987-12819,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00040,total weight,4.861111111,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-03T23:20Z,MPO-OPANO-BOTTOMTRAWL-1987-12865,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00042,total weight,7.65625,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-04T02:33Z,MPO-OPANO-BOTTOMTRAWL-1987-12876,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00044,total weight,3.684210526,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-04T04:52Z,MPO-OPANO-BOTTOMTRAWL-1987-12886,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00046,total weight,3.888888889,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-04T11:28Z,MPO-OPANO-BOTTOMTRAWL-1987-12913,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00048,total weight,4.605263158,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-05T12:27Z,MPO-OPANO-BOTTOMTRAWL-1987-13040,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00050,total weight,4.861111111,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-05T16:04Z,MPO-OPANO-BOTTOMTRAWL-1987-13067,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00052,total weight,8.75,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-06T00:59Z,MPO-OPANO-BOTTOMTRAWL-1987-13118,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00054,total weight,2.058823529,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-06T04:05Z,MPO-OPANO-BOTTOMTRAWL-1987-13129,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00056,total weight,5.526315789,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-06T11:00Z,MPO-OPANO-BOTTOMTRAWL-1987-13180,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00058,total weight,53.52941176,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-06T14:50Z,MPO-OPANO-BOTTOMTRAWL-1987-13193,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00060,total weight,19.34210526,kg,
MPO-OPANO-BOTTOMTRAWL-1987-09-06T20:00Z,MPO-OPANO-BOTTOMTRAWL-1987-13225,MPO-OPANO-BOTTOMTRAWL-1987-OTHER-00062,total weight,110,kg,
