value,date
13.7,2007-08-28
13.8,2007-08-29
14,2007-08-30
13.9,2007-08-31
14.1,2007-09-01
14.3,2007-09-02
14.1,2007-09-03
13.5,2007-09-04
13.3,2007-09-05
12.9,2007-09-06
12.9,2007-09-07
13,2007-09-08
13.2,2007-09-09
13,2007-09-10
13.5,2007-09-11
13.5,2007-09-12
13,2007-09-13
11.7,2007-09-14
11.5,2007-09-15
10.6,2007-09-16
10.6,2007-09-17
10.7,2007-09-18
11,2007-09-19
10.5,2007-09-20
10.4,2007-09-21
10.3,2007-09-22
10.3,2007-09-23
9.9,2007-09-24
9.4,2007-09-25
9.6,2007-09-26
9.9,2007-09-27
9.7,2007-09-28
9.5,2007-09-29
9.1,2007-09-30
9.9,2007-10-01
16.1,2008-08-28
16,2008-08-29
15.6,2008-08-30
15.4,2008-08-31
17,2008-09-01
17,2008-09-02
17,2008-09-03
16.4,2008-09-04
16.3,2008-09-05
16.2,2008-09-06
16.1,2008-09-07
15.8,2008-09-08
15.4,2008-09-09
14.1,2008-09-10
14.3,2008-09-11
14.2,2008-09-12
14.6,2008-09-13
14.3,2008-09-14
14.2,2008-09-15
12.9,2008-09-16
12.5,2008-09-17
12.5,2008-09-18
12.3,2008-09-19
11.7,2008-09-20
11.3,2008-09-21
11.4,2008-09-22
11.3,2008-09-23
11.1,2008-09-24
11,2008-09-25
10.9,2008-09-26
10.8,2008-09-27
10.5,2008-09-28
10.4,2008-09-29
10.4,2008-09-30
8.7,2008-10-01
12.6,2009-08-28
12.6,2009-08-29
12.7,2009-08-30
12.7,2009-08-31
12.9,2009-09-01
12.8,2009-09-02
12.5,2009-09-03
12.6,2009-09-04
12.5,2009-09-05
12.5,2009-09-06
12.5,2009-09-07
12,2009-09-08
11.7,2009-09-09
11.9,2009-09-10
11.8,2009-09-11
12,2009-09-12
12,2009-09-13
11.7,2009-09-14
11.5,2009-09-15
11.1,2009-09-16
11.1,2009-09-17
10.9,2009-09-18
10.7,2009-09-19
10.5,2009-09-20
10.5,2009-09-21
10.4,2009-09-22
10.6,2009-09-23
10.1,2009-09-24
9.9,2009-09-25
10.2,2009-09-26
9.9,2009-09-27
9.5,2009-09-28
10.3,2009-09-29
10.2,2009-09-30
10.3,2009-10-01
16.7,2010-08-28
16.8,2010-08-29
17.2,2010-08-30
16.9,2010-08-31
16.7,2010-09-01
16.6,2010-09-02
17.3,2010-09-03
16.9,2010-09-04
14.6,2010-09-05
14,2010-09-06
13.8,2010-09-07
13.5,2010-09-08
13.4,2010-09-09
13.3,2010-09-10
13,2010-09-11
12.4,2010-09-12
12.7,2010-09-13
12.8,2010-09-14
13.1,2010-09-15
12.9,2010-09-16
12.5,2010-09-17
13.1,2010-09-18
12.9,2010-09-19
12.7,2010-09-20
11.9,2010-09-21
11.5,2010-09-22
11.5,2010-09-23
11,2010-09-24
11.1,2010-09-25
10.7,2010-09-26
10.6,2010-09-27
10.3,2010-09-28
10.1,2010-09-29
10.1,2010-09-30
12.4,2010-10-01
15.5,2011-08-28
15.9,2011-08-29
14.7,2011-08-30
14.6,2011-08-31
15,2011-09-01
14.7,2011-09-02
14.6,2011-09-03
14.1,2011-09-04
14.1,2011-09-05
13.8,2011-09-06
13.8,2011-09-07
13.4,2011-09-08
13.6,2011-09-09
13.1,2011-09-10
13,2011-09-11
12.4,2011-09-12
12.3,2011-09-13
11.9,2011-09-14
11.6,2011-09-15
11.3,2011-09-16
10.5,2011-09-17
9.9,2011-09-18
9.8,2011-09-19
9.3,2011-09-20
9.7,2011-09-21
9.7,2011-09-22
9.5,2011-09-23
10.2,2011-09-24
9.9,2011-09-25
10,2011-09-26
9.1,2011-09-27
9.2,2011-09-28
9.5,2011-09-29
9.3,2011-09-30
9,2011-10-01
17.7,2012-08-28
17.5,2012-08-29
16.7,2012-08-30
15.9,2012-08-31
15.2,2012-09-01
15.2,2012-09-02
15.2,2012-09-03
15.2,2012-09-04
15.4,2012-09-05
15.4,2012-09-06
15.9,2012-09-07
15.9,2012-09-08
16.1,2012-09-09
15.8,2012-09-10
16.2,2012-09-11
15.7,2012-09-12
15,2012-09-13
14.9,2012-09-14
14.8,2012-09-15
14.8,2012-09-16
14.5,2012-09-17
14.5,2012-09-18
14.2,2012-09-19
13,2012-09-20
12.8,2012-09-21
13.2,2012-09-22
13.1,2012-09-23
13.5,2012-09-24
13.7,2012-09-25
13.5,2012-09-26
13.2,2012-09-27
13,2012-09-28
12.6,2012-09-29
12.4,2012-09-30
12.3,2012-10-01
14.3,2013-08-28
13.1,2013-08-29
13.7,2013-08-30
13.5,2013-08-31
13.6,2013-09-01
13.4,2013-09-02
13.2,2013-09-03
13.7,2013-09-04
13.7,2013-09-05
13.3,2013-09-06
13.2,2013-09-07
13.2,2013-09-08
12.7,2013-09-09
12.2,2013-09-10
12.1,2013-09-11
12.2,2013-09-12
12.7,2013-09-13
12.6,2013-09-14
12.4,2013-09-15
11.7,2013-09-16
10.9,2013-09-17
10.7,2013-09-18
10.7,2013-09-19
10.1,2013-09-20
10.2,2013-09-21
11,2013-09-22
10.9,2013-09-23
11,2013-09-24
10.8,2013-09-25
10.5,2013-09-26
10.8,2013-09-27
10.6,2013-09-28
11,2013-09-29
11.7,2013-09-30
11.7,2013-10-01
15.6,2014-08-28
14.5,2014-08-29
14.4,2014-08-30
14.4,2014-08-31
14,2014-09-01
13.8,2014-09-02
13.8,2014-09-03
13.7,2014-09-04
13.9,2014-09-05
13.8,2014-09-06
13.3,2014-09-07
12.7,2014-09-08
12.7,2014-09-09
12.9,2014-09-10
12.8,2014-09-11
11.9,2014-09-12
11.9,2014-09-13
11.8,2014-09-14
11.7,2014-09-15
12.1,2014-09-16
11.5,2014-09-17
11.2,2014-09-18
10.9,2014-09-19
10.7,2014-09-20
10.7,2014-09-21
10.7,2014-09-22
9.7,2014-09-23
9.1,2014-09-24
9.2,2014-09-25
8.6,2014-09-26
8.6,2014-09-27
8.6,2014-09-28
8.6,2014-09-29
9,2014-09-30
9.1,2014-10-01
17.6,2015-08-28
17.6,2015-08-29
17,2015-08-30
16.8,2015-08-31
15.5,2015-09-01
15.1,2015-09-02
14.9,2015-09-03
15.9,2015-09-04
15.6,2015-09-05
14.9,2015-09-06
14.7,2015-09-07
14.5,2015-09-08
14.4,2015-09-09
14.7,2015-09-10
14.5,2015-09-11
14.5,2015-09-12
14.6,2015-09-13
14.3,2015-09-14
14.4,2015-09-15
14.2,2015-09-16
13.9,2015-09-17
13.5,2015-09-18
14.6,2015-09-19
14.1,2015-09-20
13.8,2015-09-21
14.1,2015-09-22
14.1,2015-09-23
13.7,2015-09-24
13.3,2015-09-25
13,2015-09-26
12.7,2015-09-27
12.8,2015-09-28
12.9,2015-09-29
12.4,2015-09-30
12.2,2015-10-01
16.5,2016-08-28
16.5,2016-08-29
14.8,2016-08-30
14.3,2016-08-31
13.1,2016-09-01
12.7,2016-09-02
12.8,2016-09-03
12.7,2016-09-04
13,2016-09-05
12.5,2016-09-06
12.5,2016-09-07
12.2,2016-09-08
11.4,2016-09-09
11.9,2016-09-10
12,2016-09-11
11.1,2016-09-12
11.3,2016-09-13
11.2,2016-09-14
11.1,2016-09-15
10.8,2016-09-16
10.6,2016-09-17
10.7,2016-09-18
10.4,2016-09-19
10.2,2016-09-20
10.3,2016-09-21
10.2,2016-09-22
10,2016-09-23
10.2,2016-09-24
10.3,2016-09-25
10.4,2016-09-26
9.8,2016-09-27
10.1,2016-09-28
10.4,2016-09-29
10.4,2016-09-30
10.4,2016-10-01
15.3,2017-08-28
15.3,2017-08-29
15.2,2017-08-30
15,2017-08-31
14.8,2017-09-01
14.8,2017-09-02
14.9,2017-09-03
14.8,2017-09-04
14.4,2017-09-05
14.3,2017-09-06
14.4,2017-09-07
14.1,2017-09-08
14.1,2017-09-09
14,2017-09-10
13.8,2017-09-11
13.6,2017-09-12
14.2,2017-09-13
14.1,2017-09-14
